UID	LAST NAME	LAST NAME UD	FIRST NAME	FIRST NAME UD	ALIASES	ALIASES UD	ALTERNATIVE SPELLING	ALTERNATIVE SPELLING UD	CATEGORY	CATEGORY UD	TITLE	TITLE UD	SUB CATEGORY	SUB CATEGORY UD	POSITION	POSITION UD	AGE	AGE UD	DOB	DOB UD	PLACE OF BIRTH	PLAVE OF BIRTH UD	DECEASED	DECEASED UD	PASSPORTS	PASSPORTS UD	SSN	SSN UD	LOCATIONS	LOCATIONS UD	COUNTRIES	COUNTRIES UD	COMPANIES	COMPANIES UD	E/I	E/I UD	LINKED TO	LINKED TO UD	FURTHER INFORMATION	FURTHER INFORMATION UD	KEYWORDS	KEYWORDS UD	EXTERNAL SOURCES	EXTERNAL SOURCES UD	ENTERED	ENTERED UD	UPDATED	UPDATED UD	EDITOR	EDITOR UD	AGE DATE	AGE DATE UD
PCRT1	Darren John Clements				Darren John Clements				Individual				PEP		Cuc PCRT				DOB: 14/12/1978		Portugal										Portugal, Poturegal										Cuc PCRT											
PCRT2	Mouton Abraham Jacobus				Mouton Abraham Jacobus				Individual				PEP		Cuc PCRT				DOB: 24/12/1976		Belge										Belge										Cuc PCRT											
PCRT3	Bruneau Jean Marie				Bruneau Jean Marie				Individual				PEP		Cuc PCRT				DOB: 12/02/1985		Belge										Belge										Cuc PCRT											
PCRT4	Tiedge Klaus Diete				Tiedge Klaus Diete				Individual				PEP		Cuc PCRT				DOB: 05/03/1975		Espanola										Espanola										Cuc PCRT											
PCRT5	Schmidt Fred				Schmidt Fred				Individual				PEP		Cuc PCRT				DOB: 04/09/1970		Belge										Belge										Cuc PCRT											
PCRT6	Kalala Mutombo Doris				Kalala Mutombo Doris				Individual				PEP		Cuc PCRT				DOB: 17/08/1984		Congolaise										Congolaise										Cuc PCRT											
PCRT7	Kalonji James Fiston				Kalonji James Fiston				Individual				PEP		Cuc PCRT				DOB: 14/03/1981		Congolaise										Congolaise										Cuc PCRT											
PCRT8	Bukhete Nzau				Bukhete Nzau				Individual				PEP		Cuc PCRT				DOB: 26/06/1976		Congolaise										Congolaise										Cuc PCRT											
PCRT9	Pene-Owandji Desire				Pene-Owandji Desire				Individual				PEP		Cuc PCRT				DOB: 02/07/1970		Congolaise										Congolaise										Cuc PCRT											
PCRT10	Treibacher Indu				Treibacher Indu				Individual				PEP		Cuc PCRT				DOB: 20/06/1978		South African										South African										Cuc PCRT											
PCRT11	Minty Colin John				Minty Colin John				Individual				PEP		Cuc PCRT				DOB: 12/12/1971		Congolaise										Congolaise										Cuc PCRT											
PCRT12	Mbenza Usman				Mbenza Usman				Individual				PEP		Cuc PCRT						Congolaise										Congolaise										Cuc PCRT											
PCRT13	Nusantara Asset				Nusantara Asset				Corporate/Funds				PEP		Cuc PCRT						Indonesia										Indonesia										Cuc PCRT											
PCRT14	Halifaxi Ble				Halifaxi Ble				Individual				PEP		Cuc PCRT				DOB: 14/12/1978																						Cuc PCRT											
PCRT15	Courtland Harrison Burton				Courtland Harrison Burton				Individual				PEP		Cuc PCRT				DOB: 10/12/1972		Malawian										Malawian										Cuc PCRT											
PCRT16	Alfred Steinhaever				Alfred Steinhaever				Individual				PEP		Cuc PCRT				DOB: 17/10/1968		Belge										Belge										Cuc PCRT											
PCRT17	Chait Laurence Anthony				Chait Laurence Anthony				Individual				PEP		Cuc PCRT				DOB: 20/06/1976		Portuguese										Portuguese										Cuc PCRT											
PCRT18	Sasa Flashline				Sasa Flashline				Individual				PEP		Cuc PCRT				DOB: 23/01/1978																						Cuc PCRT											
PCRT19	Atics Sa				Atics Sa				Individual				PEP		Cuc PCRT				DOB: 20/05/1973		South African										South African										Cuc PCRT											
PCRT20	Fabrizio Mambrini				Fabrizio Mambrini				Individual				PEP		Cuc PCRT				DOB: 02/02/1973		South African										South African										Cuc PCRT											
PCRT21	Foox Samuel				Foox Samuel				Individual				PEP		Cuc PCRT				DOB: 22/11/1972		Belge										Belge										Cuc PCRT											
PCRT22	John Charles Frederick Hawnt				John Charles Frederick Hawnt				Individual				PEP		Cuc PCRT				DOB: 22/11/2977		Espanola										Espanola										Cuc PCRT											
PCRT23	De Borger Caroline				De Borger Caroline				Individual				PEP		Cuc PCRT				DOB: 20/06/1976		South African										South African										Cuc PCRT											
PCRT24	Hornub Horner Vechelde				Hornub Horner Vechelde				Individual				PEP		Cuc PCRT				DOB: 14/09/1970		South African										South African										Cuc PCRT											
PCRT25	Roetager Joachim				Roetager Joachim				Individual				PEP		Cuc PCRT				DOB: 15/05/1977		Espanola										Espanola										Cuc PCRT											
PCRT26	Norbert Jorek				Norbert Jorek				Individual				PEP		Cuc PCRT				DOB: 02/12/1975		Espanola										Espanola										Cuc PCRT											
PCRT27	Andrew John Stafford				Andrew John Stafford				Individual				PEP		Cuc PCRT				DOB: 17/11/1965		South African										South African										Cuc PCRT											
PCRT28	Tseng Hsien-Hui				Tseng Hsien-Hui				Individual				PEP		Cuc PCRT				DOB: 07/09/1987		Chinese										Chinese										Cuc PCRT											
PCRT29	Chen Huan				Chen Huan				Individual				PEP		Cuc PCRT				DOB: 10/09/1987		Chinese										Chinese										Cuc PCRT											
PCRT30	Ma Linan				Ma Linan				Individual				PEP		Cuc PCRT				DOB: 24/03/1989		Chinese										Chinese										Cuc PCRT											
PCRT31	Geng Weina				Geng Weina				Individual				PEP		Cuc PCRT				DOB: 20/10/1984		Chinese										Chinese 										Cuc PCRT											
PCRT32	Gao Hui				Gao Hui				Individual				PEP		Cuc PCRT				DOB: 06/04/1982		Chinese										Chinese										Cuc PCRT											
PCRT33	Mouton Abraham Jacobus				Mouton Abraham Jacobus				Individual				PEP		Cuc PCRT				DOB: 24/12/1976		Belge										Belge										Cuc PCRT											
PCRT34	Bouissou Briant Dahn				Bouissou Briant Dahn				Individual				PEP		Cuc PCRT				DOB: 10/05/1978		Belge										Belge										Cuc PCRT											
